USERID,r_score,f_score,m_score,rfm_wscore
52964,3,1,1,2.1999999999999997
52965,2,1,1,1.6
52968,4,1,1,2.8
52969,3,1,1,2.1999999999999997
52970,5,1,1,3.4
52972,5,1,1,3.4
52974,2,1,1,1.6
52978,1,1,1,0.9999999999999999
52980,3,1,1,2.1999999999999997
52982,4,1,1,2.8
52985,1,1,1,0.9999999999999999
52986,3,1,1,2.1999999999999997
52987,2,1,1,1.6
52988,2,1,1,1.6
52989,4,1,1,2.8
52992,4,1,1,2.8
52993,4,1,1,2.8
52994,3,1,1,2.1999999999999997
52996,1,1,1,0.9999999999999999
53000,3,1,1,2.1999999999999997
53004,2,1,1,1.6
53006,5,1,1,3.4
53007,1,1,1,0.9999999999999999
53009,5,1,1,3.4
53013,5,1,1,3.4
53014,1,1,1,0.9999999999999999
53015,2,1,1,1.6
53016,4,1,1,2.8
53019,4,1,1,2.8
53020,3,1,1,2.1999999999999997
